Item,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405
1S7-E3440-09,,,,,1,,,6071,156452,79886,109949,129899,92563,17400,109899,166093,111280,32400,183072,177451,82950,96172,63367,20203,125202,82427,152055,171050,90683,76812,137796,237156,236780
1S7-E3440-00,87438,134076,58609,175717,130266,36905,111811,107119,38610,36411,61355,12,148498,71003,29681,88003,100900,68502,22200,14015,41206,30214,30600,87101,46503,,1,50000,49602,29200,42001,65820,58801
90793-AH802,26572,30773,32548,27144,33339,33841,37012,52328,40833,28599,94482,15492,9731,45362,34707,37369,32904,73805,28296,25704,46800,65160,46176,61062,38448,30616,22824,31820,57600,39240,61920,49536,85104
90793-AH404,34337,45858,14315,15877,20128,27254,37654,37570,44215,43484,88455,10487,65943,28248,17451,19300,39168,79087,24648,31275,36834,36492,67968,37536,64008,19906,20748,27924,38136,30288,67236,51708,55404
90793-AH401,37344,12554,31536,20881,34467,34848,40034,38137,40250,55008,80977,6286,4464,40179,30097,30336,30384,68640,35184,22752,38040,32256,46968,46224,51636,20208,17232,33888,37296,20184,59400,36384,41280
90793-AH408,15636,28789,15984,17412,18040,19165,28095,28578,34208,34235,87511,9931,27605,26440,17139,24636,31680,60948,25512,22932,33636,33204,45888,45552,46584,23040,20532,25716,51540,28164,63360,48792,61968
2S6-E2119-00,30000,6370,6240,362200,370,6070,290,12250,4670,12270,9000,9083,14150,9777,3240,76100,31533,123000,30,43,40000,60150,33000,50,100,,40,172000,30340,3000,20,76800,31400
90793-AH403,23352,12962,10488,17904,24168,20305,26112,25848,21840,36984,57457,8948,3240,18360,19344,20208,26376,52848,22896,15792,31008,32424,22704,34944,32376,20352,25560,17688,32952,22248,40176,36096,37296
90793-AH409,32208,4920,18240,16872,32664,27672,34848,31968,24360,37416,51708,4248,5520,24528,25392,9336,33528,47376,20496,13968,27792,24624,22776,24456,44496,8640,11952,28440,23904,19584,31896,42312,27528
